,Unnamed: 0,Tags,Name,compound_sf,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],compound_mw,compound_rt,Area_Max,# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass Defect: Standard MD,Mass Defect: Relative MD,Mass Defect: Kendrick MD [H2],Mass Defect: Kendrick MD [C H2],Mass Defect: Kendrick MD [C2 H4],Mass Defect: Kendrick MD [C H3 O],Mass Defect: Kendrick MD [O],MS2,Neutral Losses,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,NrC,NrH,NrN,NrO,NrP,NrS,NrBr,NrCl,H/C,O/C,N/C,P/C,S/C,Br/C,Cl/C,DBE,Ox#C,DU,DBEAI,CAI,AI,AIcolor,NKM,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,MolClass,good_pos_CV,good_neg_CV,sum_pos,sum_neg,Kat-3,CV_Kat-3,Kat-6,CV_Kat-6,P_value_Kat-6/Kat-3,Log2_Kat-6/Kat-3,Reg_Kat-6/Kat-3,compound_mq,compound_name,compound_folder,id_as_str,compound_id,compound_iso_smiles,compound_can_smiles,compound_name_iupac,compound_xlogp,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
905,905,,,C15 H6 O4,Full match,No results,Partial match,-0.96,250.02637,8.03,176980.130622512,22,0,,,0.026368999882834,105,0.0850956836057435,-0.252813746524168,-0.252813746524168,-0.121862660873404,0.105862021803176,No MS2,,0.0,165218.362507601,0.0,8344.68906368105,1000.0,10.0676775469368,1000.0,59.7005996383313,15,6,0,4,0,0,0,0,0.4,0.266666666666666,0.0,0.0,0.0,0,0.0,13.0,0.133333333333333,13.0,9.0,11,0.818181818181818,orangered,250,0.25281282699725693,0.06164732410002216,0.12250444770944569,-0.07178822063968937,-0.08509612702337677,-0.08417787200014004,0.12029112054557345,-0.10586271623031962,-0.10586271623031962,-0.24477758595338628,-0.19845548662129886,-0.24907249829456646,-0.2851236316755603,0.363490290560037,CHO,1,0,173563.051571282,0.0,165218.362507601,10.0676775469368,8344.68906368105,59.7005996383313,9.73962664409258e-05,-4.30737193429254,#a6611a,0.0,None,Ruthenium2,0905,Ruthenium2_0905,None,None,None,,0.25281282699725693,0.32884542390169713,0.2130710765941899,0.1012149499092061,0.46179113175267616,-0.05816102196058637,0.036505841305313425,0.15397064285062356,C12 O4,3,14.839101827011339,C12 O,3,5.331286375451331,C13 H2 O3,1,4.6790394109508435,C11 H6,4,4.931143819130548,C15 O4,3,121.04266647278531,C11 H6,4,3.138156082464457,C15 O,3,10.882219300617434,C15 H6,4,11.63163134148581,C15 H6,2,5.815815670742905,C15 H6 O4,0,7.820156764565695,C15 H6 O4,0,5.212472798386495,C15 H6 O4,0,7.149980325215522,C15 H6 O4,0,3.1681691462068122,C15 H6 O4,0,14.684514588761463,C13 H2 O4,1,7.91955091350567,C15 H6 O4,0,5.674349838833515,C15 H6 O4,0,4.163119456108313,C10 O3,1,2.047549068292195,C14 H2 O4,1,14.596152942119726,C7 H6,4,2.251459993099196,C9 O,3,2.951517446912722,C12 O3,1,3.307694273390668
906,906,,,C13 H8 O,Full match,No results,Partial match,-0.86,180.05736,8.738,176377.379463498,27,0,,,0.0573596004687431,319,-0.340655132896671,-0.143694825770893,-0.143694825770893,-0.0493899457960083,0.114606776800144,No MS2,,0.0,160495.408974776,0.0,9131.246133574,1000.0,13.9944800949966,1000.0,28.1454786524057,13,8,0,1,0,0,0,0,0.615384615384615,0.0769230769230769,0.0,0.0,0.0,0,0.0,10.0,-0.461538461538461,10.0,9.0,12,0.75,orangered,180,0.1436944839188925,0.006025982093433413,0.04985245133471494,-0.0900680895678363,0.34065513178447304,-0.0989905400888631,0.04825851607924392,-0.11460695608570859,-0.11460695608570859,-0.21464698269201676,-0.18128796173999717,-0.21773997875314421,-0.2437023278508832,0.22339924426319158,CHO,1,0,169626.655108349,0.0,160495.408974776,13.9944800949966,9131.246133574,28.1454786524057,0.000315911264526101,-4.13557646189636,#a6611a,0.0,None,Ruthenium2,0906,Ruthenium2_0906,None,None,None,,0.1436944839188925,0.1984496230370496,0.11507432413588958,0.034520745444496015,0.2941909369591542,-0.08025441504079822,-0.012079744188525865,0.07251294121172691,C9 O,4,8.846890015753779,C12 H6,1,4.999804294693158,C11 H4,1,3.0897795984967242,C12 H8,1,5.431793678396854,C13 O,4,85.32974927155725,C12 H8,1,3.4567672320614995,C13 H6,1,8.997327570582355,C13 H8,1,10.257172617671063,C13 H8 O,0,5.628586308835533,C13 H8 O,0,5.631712562356043,C13 H8 O,0,3.753780061369737,C13 H8 O,0,5.1490827141175695,C13 H8 O,0,2.281567814753726,C13 H8 O,0,10.575103258332359,C9 O,2,4.423445007876889,C10 O,1,3.086402387144018,C10,1,1.9980846734158948,C8 H2,1,1.19470285430407,C11 O,2,9.23162272737889,C11 H8,1,3.502010232803589,C11 H6,1,3.286005585301202,C10 H2,1,2.10220072111185
907,907,,,C17 H35 N O3,Full match,No results,Partial match,-0.47,301.26155,11.458,174960.180893431,528,0,,,0.261552715703147,868,-0.0775246218054804,-0.074839913644098,-0.074839913644098,0.0829455533478836,0.357335377786285,No MS2,,0.0,42508.3772633408,0.0,150353.453106834,1000.0,34.2097009006363,1000.0,23.1449078437212,17,35,1,3,0,0,0,0,2.05882352941176,0.176470588235294,0.0588235294117647,0.0,0.0,0,0.0,1.0,-1.52941176470588,1.0,-2.5,13,0.0,royalblue,301,0.07484272207398135,-0.15549624460925315,-0.08216833368879861,-0.31627528176989017,0.07752797784462473,-0.33120380940005134,-0.08483521387449855,-0.3573322925048501,-0.3573322925048501,0.47528652697883444,-0.468899090546131,0.4701115050440876,0.4266728056716147,0.2082001124283579,CHNO,1,0,192861.830370174,0.0,42508.3772633408,34.2097009006363,150353.453106834,23.1449078437212,0.00774627038565031,1.8225389111265,#d9d9d9,0.0,None,Ruthenium2,0907,Ruthenium2_0907,None,None,None,,0.07484272207398135,0.1664558506969911,0.026957127741866316,-0.1078204563270333,0.3266446740320248,-0.299855609731992,-0.18578969755998287,-0.04425411399734003,H N O3,17,4.494664364880967,C14 H29 N,3,7.038521339503657,C11 H23 N,3,3.8427798236168504,C14 H35 N,3,7.76130068925416,C17 H N O3,17,132.46130744767896,C14 H35 N,3,4.939254229683565,C17 H29 N,3,13.726943284477874,C17 H35 N,3,15.834842270592189,C17 H35 N O,1,8.417421135296095,C17 H35 N O3,0,9.42265179968728,C17 H35 N O3,0,6.280605066267517,C17 H35 N O3,0,8.615143788982891,C17 H35 N O3,0,3.8173857130953874,C17 H32 O3,1,16.693643744367034,C H3 N O3,8,2.7473321824404837,C5 H3 N O3,4,2.8371292712709777,C8 H11 N,3,2.0162197787592175,C2 H17 N,3,0.6720483460248818,C9 H3 N O3,8,10.792093689751505,C11 H35 N,3,4.532499990480765,C11 H29 N,3,4.171093658393798,C8 H17 N,3,2.190420655195318
908,908,,,C13 H12 O5,Full match,No results,Partial match,-0.82,248.06827,8.176,174305.587246853,1386,0,,,0.068269482485249,275,0.142199388008095,-0.208726824134658,-0.208726824134658,-0.0788012913431544,0.147139949078792,No MS2,,0.0,152898.571310839,0.0,5356.1738715941,1000.0,19.8001145511693,1000.0,16.3929731298121,13,12,0,5,0,0,0,0,0.923076923076923,0.384615384615384,0.0,0.0,0.0,0,0.0,8.0,-0.153846153846153,8.0,3.0,8,0.375,royalblue,248,0.20872638604885196,0.019058009919575625,0.07943852646658911,-0.11333252448721964,-0.1421993568694404,-0.1256251453770858,0.07724253313799068,-0.1471401631466449,-0.1471401631466449,-0.28496711079810666,-0.23900778641134934,-0.28922838721578614,-0.3249971834806047,0.3185370708737878,CHO,2,0,158254.745182433,0.0,152898.571310839,19.8001145511693,5356.1738715941,16.3929731298121,0.00108055061587706,-4.83522832189946,#a6611a,0.0,None,Ruthenium2,0908,Ruthenium2_0908,None,None,None,,0.20872638604885196,0.28416352804990197,0.16929587610201224,0.05831575894214325,0.4160680617617345,-0.09981204822196332,-0.005886575494059798,0.11065829177434239,C7 O5,6,11.699391205096248,C8 H2,5,3.2660381801019103,C7 O2,3,2.6345628372041268,C8 H12,5,3.8611977159307482,C13 O5,6,117.07120063078432,C8 H12,5,2.4572475560005884,C13 H2,5,8.773497824006194,C13 H12,5,10.509208982028248,C13 H12 O,2,5.754604491014125,C13 H12 O5,0,7.75891158666124,C13 H12 O5,0,5.171650237730699,C13 H12 O5,0,7.093983772944936,C13 H12 O5,0,3.1433569731478213,C13 H12 O5,0,14.569509770379257,C7 O5,3,5.849695602548124,C10 H4 O5,1,4.6299099924424345,C10 H4 O4,1,3.1305151235606377,C3 O3,2,1.0236815563638106,C10 O5,3,12.474008439097316,C3 H12,5,1.2025003889676282,C3 H2,5,0.9049069049745804,C7 O3,2,2.2739576732080162
910,910,,,C19 H30 O4,Full match,No results,Partial match,-1.52,322.21392,9.975,172258.592170171,79,0,,,0.21391793038282,664,-0.287839318316173,-0.145870386738295,-0.145870386738295,0.0228888626702997,0.316362157139906,No MS2,,0.0,51613.3944799619,0.0,157627.052049799,1000.0,30.7378772210438,1000.0,13.1272660419352,19,30,0,4,0,0,0,0,1.57894736842105,0.210526315789473,0.0,0.0,0.0,0,0.0,5.0,-1.1578947368421,5.0,1.0,15,0.0666666666666666,royalblue,322,0.1458684218511621,-0.10049033645617556,-0.022062559585606323,-0.27245135775933704,0.2878379721906299,-0.28841814611161,-0.02491491800572021,-0.3163638330565277,-0.3163638330565277,-0.4953861686596497,-0.43568996458157017,0.49907889299964836,0.45261908555158925,0.2885006545640749,CHO,1,0,209240.44652976,0.0,51613.3944799619,30.7378772210438,157627.052049799,13.1272660419352,0.00214319270207301,1.61069773104634,#d9d9d9,0.0,None,Ruthenium2,0910,Ruthenium2_0910,None,None,None,,0.1458684218511621,0.243853130809498,0.09465244337241074,-0.049498755779836756,0.4151828896418692,-0.25488971774103675,-0.1328906617735015,0.01848854741933792,C4 O4,15,7.989615748343414,C15 H22,4,6.7366993203111925,C11 H14,4,3.3186943571212018,C15 H30,4,7.509747888994605,C19 O4,15,144.85632383640083,C15 H30,4,4.779167243955642,C19 H22,4,13.890300226449206,C19 H30,4,16.144803339615592,C19 H30,2,8.072401669807796,C19 H30 O4,0,10.077996126293396,C19 H30 O4,0,6.71742041138816,C19 H30 O4,0,9.214326028232486,C19 H30 O4,0,4.0828844413437695,C19 H30 O4,0,18.924234589849146,C5 H2 O4,7,4.494807874171706,C10 H6 O4,3,4.312650809522954,C10 H6 O,3,2.365097275551399,C4 H12 O,3,0.9274388774536932,C12 H2 O4,7,13.099081599995408,C11 H30,4,4.056384480628859,C11 H22,4,3.6698423805683187,C7 H6,4,1.5514138024953532
912,912,,,C20 H22 O3,Full match,No results,Partial match,-1.24,310.15651,13.389,170081.758502213,536,0,,,0.156511211796897,505,-0.251629023544979,-0.18981364570709,-0.18981364570709,-0.027369452211417,0.25512192411145,No MS2,,0.0,14052.934610171,0.0,149954.213000473,1000.0,12.6423919449158,1000.0,18.9822261450916,20,22,0,3,0,0,0,0,1.1,0.15,0.0,0.0,0.0,0,0.0,10.0,-0.8,10.0,7.0,17,0.411764705882352,royalblue,310,0.18981495473730092,-0.04732493259137982,0.02816803667963086,-0.21285108435859001,0.25163090688351986,-0.22822038730873828,0.025422414973263585,-0.2551203323278628,-0.2551203323278628,-0.42744356039543163,-0.36998121886438184,-0.432771378507141,-0.47749263615281734,0.32710981621244173,CHO,2,0,164007.147610644,0.0,14052.934610171,12.6423919449158,149954.213000473,18.9822261450916,0.00117561024940246,3.4155787172098,#018571,0.0,None,Ruthenium2,0912,Ruthenium2_0912,None,None,None,,0.18981495473730092,0.28413302567571463,0.14051550441809013,0.0017585170062375255,0.44905153713722257,-0.19594660990895818,-0.07851282113222169,0.0672017004806662,C9 O3,11,11.129326370258505,C17 H16,3,7.334923645499371,C14 H10,3,4.04482309777512,C17 H22,3,8.079044132928097,C20 O3,11,142.87437533749795,C17 H22,3,5.141464620822466,C20 H16,3,14.220831218178663,C20 H22,3,16.390969063897895,C20 H22 O,1,8.695484531948948,C20 H22 O3,0,9.700869639503125,C20 H22 O3,0,6.466049292735844,C20 H22 O3,0,8.86951875110908,C20 H22 O3,0,3.9300997164799245,C20 H22 O3,0,18.21607495011235,C10 H2 O3,5,6.064663185129253,C14 H6 O3,2,5.039005704448507,C14 H6 O,2,3.164331144917757,C5 H4,3,0.7804710470063925,C15 H2 O3,5,14.346958267486738,C14 H22,3,4.754908280664424,C14 H16,3,4.382830887909341,C11 H4,3,2.3436755618949277
913,913,,,C16 H8 O4,Full match,No results,Partial match,-0.94,264.04201,8.26,169736.36248682,28,0,,,0.0420109513202078,159,-0.00808365384591525,-0.252821846032703,-0.252821846032703,-0.114530080528937,0.125960086159068,No MS2,,0.0,160816.711591212,0.0,3443.05912325387,1000.0,7.84389330150448,1000.0,8.8965435469044,16,8,0,4,0,0,0,0,0.5,0.25,0.0,0.0,0.0,0,0.0,13.0,0.0,13.0,9.0,12,0.75,orangered,264,0.2528228802191279,0.05094128017969979,0.11520985009360629,-0.08997421380803416,0.008085177485554595,-0.10305838748303131,0.11287245122986178,-0.1259588113746304,-0.1259588113746304,-0.2726607829329737,-0.22374202202360038,-0.27719645365971246,-0.3152684927038649,0.3697045513036983,CHO,2,0,164259.770714465,0.0,160816.711591212,7.84389330150448,3443.05912325387,8.8965435469044,2.71622145857056e-05,-5.54558256995261,#a6611a,0.0,None,Ruthenium2,0913,Ruthenium2_0913,None,None,None,,0.2528228802191279,0.3331176095798014,0.21085334053680072,0.09272693442721902,0.4735158080651445,-0.07558312006102597,0.02439045015529473,0.14843993463279048,C12 O4,4,14.839101827011339,C12,4,4.798310245612573,C12 O2,2,3.9973872440436415,C12 H8,4,5.431793678396854,C16 O4,4,126.99608081368919,C12 H8,4,3.4567672320614995,C16,4,10.660409785499215,C16 H8,4,12.50788797666107,C16 H8,2,6.253943988330535,C16 H8 O4,0,8.258528429260421,C16 H8 O4,0,5.504666477694606,C16 H8 O4,0,7.550784154609515,C16 H8 O4,0,3.345766044129648,C16 H8 O4,0,15.507679046880462,C12 O4,2,7.419550913505669,C13 O4,1,4.9924347902990425,C13 O3,1,3.396489919289629,C11 H2 O3,1,2.2183844106678805,C14 O4,2,14.470420777650803,C8 H8,4,2.601895797195199,C8,4,2.2851394815098423,C13 H2 O3,1,3.549169114173745
914,914,,,C10 H6 N6 O4,Full match,No results,Partial match,-0.29,274.04497,7.218,168948.25688784,1197,0,,,0.0449730060540787,164,-0.0827873405227137,-0.261029230865574,-0.261029230865574,-0.117498422991901,0.132102468172263,No MS2,,0.0,151377.259621025,0.0,5908.72874844991,1000.0,16.4153735517209,1000.0,11.5777093125321,10,6,6,4,0,0,0,0,0.6,0.4,0.6,0.0,0.0,0,0.0,11.0,2.0,11.0,4.0,0,0.0,royalblue,274,0.26103232067112003,0.051502643835419804,0.11820596242472448,-0.09475128872031746,0.0827909249042591,-0.10833114285878764,0.11578001360891221,-0.13209912575803173,-0.13209912575803173,-0.284358750636045,-0.23358675277921748,-0.289066250583744,-0.3285806096725423,0.3823419336600864,CHNO,2,0,157285.988369474,0.0,151377.259621025,16.4153735517209,5908.72874844991,11.5777093125321,0.000533416095579203,-4.67915691434122,#a6611a,0.0,None,Ruthenium2,0914,Ruthenium2_0914,None,None,None,,0.26103232067112003,0.34436893327608686,0.21747280814065562,0.09487130462048299,0.49008597312126767,-0.07981500318686585,0.023945962921175123,0.15269493454184158,C7 N6 O4,3,16.55278930608764,C7 N6 O,3,6.131619334176406,C8 H2 N6 O3,1,5.224588106513043,C6 H6 N6,4,5.789101214356529,C10 N6 O4,3,132.95864556562188,C6 H6 N6,4,3.684156020223014,C10 N6 O,3,12.215794590895655,C10 H6 N6,4,13.133261365643182,C10 H6 N6,2,6.566630682821591,C10 H6 N6 O4,0,8.57138879753488,C10 H6 N6 O4,0,5.71320144808204,C10 H6 N6 O4,0,7.836832829213839,C10 H6 N6 O4,0,3.472514726499967,C10 N4 O4,2,14.095161213860619,C8 H2 N6 O4,1,8.776394653043818,C10 H6 N6 O4,0,6.219448037442581,C10 H6 N6 O4,0,4.563043496848371,C5 N6 O3,1,2.3403074555051195,C9 H2 N6 O4,1,16.09437478522847,C2 H6 N6,4,2.8519974427985506,C4 N6 O,3,3.523241350345766,C7 N6 O3,1,3.72150668455257
917,917,,,C10 H18 O4,Full match,No results,Partial match,-0.91,202.12032,7.884,167652.012977844,1623,0,,,0.120324675571311,595,-0.448992970961115,-0.105365548917092,-0.105365548917092,0.000494789151332498,0.184586519089066,No MS2,,0.0,134714.112834095,0.0,156668.207197721,1000.0,0.721217166339071,1000.0,9.91486873984496,10,18,0,4,0,0,0,0,1.8,0.4,0.0,0.0,0.0,0,0.0,2.0,-1.0,2.0,-2.0,6,0.0,royalblue,202,0.10537028351365052,-0.04916714635245967,2.9509577160524714e-05,-0.15703590836409376,0.44899805398634385,-0.16705165309397785,-0.0017597352718041748,-0.18458159465555468,-0.18458159465555468,-0.2968798211233832,-0.2594332208304877,-0.3003518111249548,-0.3294954035201272,0.19484150349774154,CHO,2,0,291382.320031816,0.0,134714.112834095,0.721217166339071,156668.207197721,9.91486873984496,0.0709625864948177,0.217811444858383,#d9d9d9,0.0,None,Ruthenium2,0917,Ruthenium2_0917,None,None,None,,0.10537028351365052,0.16683473151073258,0.07324321104192677,-0.01718083550775873,0.27430751133573494,-0.14601973531912904,-0.06949142073895587,0.025466656191412085,C O4,9,5.421058468842941,C6 H10,4,2.7349785379405938,C2 H2,4,0.5909127144607015,C6 H18,4,3.2199008928974027,C10 O4,9,91.27559476826589,C6 H18,4,2.0491293587458865,C10 H10,4,7.222330482377413,C10 H18,4,8.63654816957402,C10 H18,2,4.31827408478701,C10 H18 O4,0,6.32178340764666,C10 H18 O4,0,4.213742133528617,C10 H18 O4,0,5.780015458226924,C10 H18 O4,0,2.5611352488303507,C10 H18 O4,0,11.870902780007523,C2 H2 O4,4,3.210529234421471,C4 H2 O4,2,2.5871216831434487,C4 H2 O2,2,1.3654490944387294,H6 O2,2,0.4636264609445596,C6 H2 O4,4,8.607867573622459,C2 H18,4,1.0536552204444505,C2 H10,4,0.8111828674194087,C O,3,0.4823227976872983
921,921,,,C11 H18 O4,Full match,No results,Partial match,-1.24,214.12024,7.852,161359.302940174,1589,0,,,0.120244085859753,562,0.457755773201768,-0.11884540715792,-0.11884540715792,-0.00670012210255777,0.188321166388477,No MS2,,0.0,131203.812172175,0.0,145019.040719178,1000.0,5.49724693754408,1000.0,15.934887123143,11,18,0,4,0,0,0,0,1.63636363636363,0.363636363636363,0.0,0.0,0.0,0,0.0,3.0,-0.909090909090909,3.0,-1.0,7,0.0,royalblue,214,0.1188495565156984,-0.0448627885464532,0.007254681754631065,-0.15913573849249474,-0.4577512489635467,-0.16974611980069199,0.005359209114971009,-0.18831681716727644,-0.18831681716727644,-0.307282209676373,-0.267612397942969,-0.3109603323530621,-0.341834185106336,0.21363269903241644,CHO,2,0,276222.852891353,0.0,131203.812172175,5.49724693754408,145019.040719178,15.934887123143,0.378884290911567,0.144432697172701,#d9d9d9,0.0,None,Ruthenium2,0921,Ruthenium2_0921,None,None,None,,0.1188495565156984,0.183963159920836,0.08481509393351416,-0.010977444634590938,0.29781661814612903,-0.14746553325895206,-0.06639371878375755,0.03420203636972019,C2 O4,9,6.277244228676432,C7 H10,4,3.134837725074975,C3 H2,4,0.8634775958286045,C7 H18,4,3.648550173063856,C11 O4,9,97.22900910916978,C7 H18,4,2.3219196879550528,C11 H10,4,7.888606093971114,C11 H18,4,9.386786622570689,C11 H18,2,4.6933933112853445,C11 H18 O4,0,6.697110984472787,C11 H18 O4,0,4.463914200865576,C11 H18 O4,0,6.1231779894407925,C11 H18 O4,0,2.713191183822485,C11 H18 O4,0,12.575684467050063,C3 H2 O4,4,3.6386221143382156,C5 H2 O4,2,2.859461489005561,C5 H2 O2,2,1.5652575617803188,C H6 O2,2,0.6098932483629003,C7 H2 O4,4,9.356403244684618,C3 H18,4,1.3536933656472472,C3 H10,4,1.096825302608139,C2 O,3,0.6890701177238285
927,927,,,C11 H16 N2 O2 S,Full match,No results,Partial match,1.6,240.09363,11.058,157610.428070117,9935,0,,,0.0936324724773101,390,0.229479647352377,-0.174459249114392,-0.174459249114392,-0.0487104252768518,0.169967494520847,No MS2,,0.0,144367.398355156,0.0,7889.93363935431,1000.0,12.9727850215429,1000.0,58.2533384267243,11,16,2,2,0,1,0,0,1.45454545454545,0.181818181818181,0.181818181818181,0.0,0.0909090909090909,0,0.0,5.0,-0.363636363636363,5.0,1.0,6,0.166666666666666,royalblue,240,0.17446179514718096,-0.00910931985711727,0.049330146822967436,-0.13724390145176812,-0.2294766669451178,-0.1491413519869127,0.047204747997398044,-0.16996472740615332,-0.16996472740615332,-0.30336095810289976,-0.25887908613933064,-0.3074852474509271,-0.3421041857615421,0.28074240061280875,CHS,1,0,152257.33199451,0.0,144367.398355156,12.9727850215429,7889.93363935431,58.2533384267243,0.000254357226844305,-4.19358800732915,#a6611a,0.0,None,Ruthenium2,0927,Ruthenium2_0927,None,None,None,,0.17446179514718096,0.24747386259079462,0.13629885610666292,0.028886411997149253,0.37513806693391416,-0.12415806735515389,-0.03325201275694667,0.07954629167892335,C3 N2 O2 S,8,9.130368397745125,C9 H12 N2 S,2,6.000290946402773,C7 H8 N2 S,2,3.453415659503515,C9 H16 N2 S,2,6.576316527511089,C11 N2 O2 S,8,111.11454928184762,C9 H16 N2 S,2,4.18513603901726,C11 H12 N2 S,2,11.330689689644828,C11 H16 N2 S,2,13.010598971520771,C11 H16 N2 S,1,6.505299485760386,C11 H16 N2 O2,1,6.509468111353462,C11 H16 N2 O,1,4.0053853700405435,C11 H16 N2 O2 S,0,6.865917252746086,C11 H16 N2 O2 S,0,3.042300287714918,C11 H10 O2 S,2,12.101110419508714,C3 N2 O2 S,4,4.565184198872562,C5 N2 O2 S,2,3.4489124003833727,C5 N2 S,2,1.9977220074483724,C H4 N2 S,2,0.9264723502504076,C7 N2 O2 S,4,10.97653010094663,C7 H16 N2 S,2,4.003094423924572,C7 H12 N2 S,2,3.715068358253933,C5 H4 N2 S,2,2.1365529814009636
928,928,,,C18 H14 O,Full match,No results,Partial match,-1.87,246.10401,12.44,156742.053504379,527,0,,,0.104005718632806,423,0.193186706856068,-0.170797265120996,-0.170797265120996,-0.0419005137072475,0.182251670047975,No MS2,,0.0,144274.318547465,0.0,38591.5980584338,1000.0,12.2211908852919,1000.0,12.6121493533553,18,14,0,1,0,0,0,0,0.777777777777777,0.0555555555555555,0.0,0.0,0.0,0,0.0,12.0,-0.666666666666666,12.0,11.0,17,0.647058823529411,darkorange,246,0.17079306676117767,-0.01737347277895651,0.04252893734422969,-0.1487157093477549,-0.19319041465877262,-0.16091099451827517,0.04035033238159258,-0.1822556515689655,-0.1822556515689655,-0.31899125464744316,-0.27339584646213666,-0.3232187893261482,-0.3587043602685185,0.2797342460432901,CHO,2,0,182865.916605898,0.0,144274.318547465,12.2211908852919,38591.5980584338,12.6121493533553,0.000560425482191799,-1.90245582523115,#d9d9d9,0.0,None,Ruthenium2,0928,Ruthenium2_0928,None,None,None,,0.17079306676117767,0.24563288061321487,0.13167477640396896,0.02157342461356393,0.3764929647491613,-0.1353022912350923,-0.04212054139065913,0.07350149757331792,C11 O,7,10.559261535420761,C17 H12,1,7.200594279445648,C16 H10,1,4.589952860510925,C17 H14,1,7.791041816528682,C18 O,7,115.09682097607667,C17 H14,1,4.95818133927096,C18 H12,1,12.6644502484151,C18 H14,1,14.386419429190186,C18 H14 O,0,7.693209714595093,C18 H14 O,0,7.697482710092475,C18 H14 O,0,5.130705233967989,C18 H14 O,0,7.037819264727286,C18 H14 O,0,3.1184703785065033,C18 H14 O,0,14.45416000677444,C12 H2 O,3,5.7796307677103815,C15 H6 O,1,4.585336853264827,C15 H6,1,3.0978129976430244,C13 H8,1,1.999742456267807,C15 H2 O,3,12.351497576096444,C16 H14,1,5.153393935497192,C16 H12,1,4.858156559470022,C15 H8,1,3.2401198835341427
929,929,,,C13 H10 O5,Full match,No results,Partial match,-0.79,246.05263,8.035,155880.010265706,448,0,,,0.0526293758593681,214,0.142209264101496,-0.222116240391415,-0.222116240391415,-0.0932463972909545,0.130858992754469,No MS2,,0.0,141713.631001849,0.0,46864.6430305003,1000.0,14.137162066228,1000.0,16.7542405609812,13,10,0,5,0,0,0,0,0.769230769230769,0.384615384615384,0.0,0.0,0.0,0,0.0,9.0,0.0,9.0,4.0,8,0.5,darkorange,246,0.22211569515809515,0.03398843980843935,0.0938783438947155,-0.09732637597957705,-0.14220934318615264,-0.10951911509749834,0.09170019376711025,-0.13085931594901012,-0.13085931594901012,-0.2675663722545778,-0.22198048318304586,-0.2717930243359774,-0.3072711868308602,0.3310341304069482,CHO,2,0,188578.274032349,0.0,141713.631001849,14.137162066228,46864.6430305003,16.7542405609812,0.00158079657634855,-1.59640673454546,#d9d9d9,0.0,None,Ruthenium2,0929,Ruthenium2_0929,None,None,None,,0.22211569515809515,0.29693988443889907,0.18300557166401177,0.0729272061201982,0.4277726484547202,-0.08391575823338826,0.009246537729296733,0.12484443787346322,C8 O5,5,12.555576964929738,C8,5,3.1988734970750485,C9 H2 O3,2,3.5887798854792314,C8 H10,5,3.7891971368308943,C13 O5,5,117.07120063078432,C8 H10,5,2.4114267356127117,C13,5,8.661582950718111,C13 H10,5,10.383190799849656,C13 H10 O,2,5.691595399924829,C13 H10 O5,0,7.69586749879264,C13 H10 O5,0,5.129628625759546,C13 H10 O5,0,7.036342474764812,C13 H10 O5,0,3.1178160102171195,C13 H10 O5,0,14.451126999302796,C9 H2 O5,2,6.77778848246487,C10 H2 O5,1,4.584164846839018,C10 H2 O4,1,3.096953127720911,C8 H4 O4,1,1.999113001406466,C11 H2 O5,2,13.348276274628397,C3 H10,5,1.1521027300744218,C3,5,0.8569273055661908,C10 H4 O4,1,3.2392301524614693
